Week,Temperature,Rain,Snow,PM10,PM2.5,COVID19,Time,BusStop,BusNumber,people
1,6.7,0.0,0.0,35,22,1,4,82570,5,0
1,6.4,0.0,0.0,31,26,1,5,82570,5,0
1,6.2,0.0,0.0,38,25,1,6,82570,5,0
1,6.1,0.0,0.0,34,30,1,7,82570,5,0
1,6.6,0.0,0.0,35,25,1,8,82570,5,1
1,9.1,0.0,0.0,41,32,1,9,82570,5,1
1,12.4,0.0,0.0,55,49,1,10,82570,5,2
1,15.4,0.0,0.0,63,41,1,11,82570,5,2
1,18.5,0.0,0.0,74,29,1,12,82570,5,5
1,19.4,0.0,0.0,71,43,1,13,82570,5,2
1,20.7,0.0,0.0,67,27,1,14,82570,5,3
1,21.2,0.0,0.0,60,29,1,15,82570,5,2
1,20.4,0.0,0.0,54,29,1,16,82570,5,2
1,18.3,0.0,0.0,61,39,1,17,82570,5,4
1,16.3,0.0,0.0,63,42,1,18,82570,5,1
1,15.0,0.0,0.0,70,33,1,19,82570,5,2
1,14.5,0.0,0.0,73,35,1,20,82570,5,0
1,13.7,0.0,0.0,76,54,1,21,82570,5,2
1,12.7,0.0,0.0,70,42,1,22,82570,5,2
1,12.5,0.0,0.0,69,43,1,23,82570,5,0
1,12.2,0.0,0.0,67,41,1,0,82570,5,0
1,12.0,0.0,0.0,66,51,1,1,82570,5,0
1,11.9,0.0,0.0,68,39,1,2,82570,5,0
1,11.7,0.0,0.0,57,35,1,3,82570,5,0
2,11.5,0.0,0.0,63,35,1,4,82570,5,0
2,11.5,0.0,0.0,60,50,1,5,82570,5,0
2,11.3,0.0,0.0,59,45,1,6,82570,5,0
2,11.4,0.0,0.0,56,38,1,7,82570,5,1
2,11.8,0.0,0.0,54,41,1,8,82570,5,1
2,13.4,0.0,0.0,67,50,1,9,82570,5,0
2,15.3,0.0,0.0,72,41,1,10,82570,5,0
2,16.7,0.0,0.0,78,31,1,11,82570,5,3
2,18.0,0.0,0.0,70,26,1,12,82570,5,2
2,19.8,0.0,0.0,72,33,1,13,82570,5,2
2,20.1,0.0,0.0,72,26,1,14,82570,5,1
2,20.5,0.0,0.0,62,20,1,15,82570,5,1
2,18.7,0.0,0.0,60,17,1,16,82570,5,5
2,17.1,0.0,0.0,49,8,1,17,82570,5,1
2,14.7,0.0,0.0,26,10,1,18,82570,5,1
2,12.8,0.0,0.0,18,11,1,19,82570,5,2
2,11.4,0.0,0.0,16,17,1,20,82570,5,2
2,11.0,0.0,0.0,20,17,1,21,82570,5,2
2,9.9,0.0,0.0,22,16,1,22,82570,5,1
2,9.1,0.0,0.0,18,15,1,23,82570,5,1
2,8.1,0.0,0.0,18,14,1,0,82570,5,0
2,7.5,0.0,0.0,24,6,1,1,82570,5,0
2,6.7,0.0,0.0,20,3,1,2,82570,5,0
2,6.4,0.0,0.0,22,3,1,3,82570,5,0
3,5.7,0.0,0.0,20,14,1,4,82570,5,0
3,5.0,0.0,0.0,22,20,1,5,82570,5,0
3,4.4,0.0,0.0,16,16,1,6,82570,5,0
3,3.8,0.0,0.0,20,16,1,7,82570,5,1
3,4.6,0.0,0.0,21,17,1,8,82570,5,0
3,8.5,0.0,0.0,23,25,1,9,82570,5,1
3,12.2,0.0,0.0,35,20,1,10,82570,5,0
3,13.1,0.0,0.0,45,12,1,11,82570,5,1
3,14.2,0.0,0.0,38,10,1,12,82570,5,2
3,14.8,0.0,0.0,37,5,1,13,82570,5,1
3,15.5,0.0,0.0,29,5,1,14,82570,5,2
3,17.0,0.0,0.0,26,10,1,15,82570,5,1
3,17.0,0.0,0.0,17,11,1,16,82570,5,3
